[2026-06-08 18:09:50] | File: ./kimodo-gen/test260608_p01_r1.bvh | Stage: Kimodo_Inference | Duration: 2.664s
[2026-06-08 18:09:51] | File: ./kimodo-gen/test260608_p01_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.095s
[2026-06-08 18:09:51] | File: test260608_p01_r1.bvh | Stage: Blender_Process_And_Export | Duration: 224.191s
[2026-06-08 18:09:52] | File: test260608_p01_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.144s
[2026-06-08 18:09:53] | File: ./kimodo-gen/test260608_p01_r2.bvh | Stage: Kimodo_Inference | Duration: 2.489s
[2026-06-08 18:09:54] | File: ./kimodo-gen/test260608_p01_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.096s
[2026-06-08 18:09:54] | File: test260608_p01_r2.bvh | Stage: Blender_Process_And_Export | Duration: 1.730s
[2026-06-08 18:09:55] | File: test260608_p01_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.132s
[2026-06-08 18:09:57] | File: ./kimodo-gen/test260608_p01_r3.bvh | Stage: Kimodo_Inference | Duration: 2.494s
[2026-06-08 18:09:57] | File: ./kimodo-gen/test260608_p01_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-08 18:09:57] | File: test260608_p01_r3.bvh | Stage: Blender_Process_And_Export | Duration: 1.630s
[2026-06-08 18:09:58] | File: test260608_p01_r3.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.091s
[2026-06-08 18:10:00] | File: ./kimodo-gen/test260608_p02_r1.bvh | Stage: Kimodo_Inference | Duration: 2.503s
[2026-06-08 18:10:00] | File: ./kimodo-gen/test260608_p02_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-08 18:10:00] | File: test260608_p02_r1.bvh | Stage: Blender_Process_And_Export | Duration: 1.969s
[2026-06-08 18:10:01] | File: test260608_p02_r1.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.048s
[2026-06-08 18:10:05] | File: ./kimodo-gen/test260608_p02_r2.bvh | Stage: Kimodo_Inference | Duration: 4.870s
[2026-06-08 18:10:05] | File: ./kimodo-gen/test260608_p02_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.123s
[2026-06-08 18:10:06] | File: test260608_p02_r2.bvh | Stage: Blender_Process_And_Export | Duration: 4.755s
[2026-06-08 18:10:07] | File: test260608_p02_r2.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.090s
[2026-06-08 18:10:12] | File: ./kimodo-gen/test260608_p02_r3.bvh | Stage: Kimodo_Inference | Duration: 6.276s
[2026-06-08 18:10:12] | File: ./kimodo-gen/test260608_p02_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.109s
